Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
266,26-28,Female,50-59,Statistics (Department of Statistics),Statistics (Department of Statistics),No,2015,more than 3,Unmarried,,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,None,More technical and leadership skills ,Yes,,Yes,,Brilliant career opportunities ,Working,Job,Business Analyst/ Data Scientist ,Retail/CPG,Private,4,Office Work,2,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,3,4,3,3,4,Making things work;Solving problems,Learning new facts;Exploring theories;Developing knowledge,Composing music,"Supporting others;Building relationships;Collaborating;Encouraging;Teaching, instructing","Persuading, influential;Asserting ideas",Attention to detail;Creating efficiency
267,above 28,Male,60-69,Chemistry,Organic chemistry,No,2014,more than 3,Married,Teacher,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,3,Technical/programming Skills,Engineering and . mechanical,No,Yes,,Yes,Working,Job,Senior executive,Pharmaceutical,Private,5,Office Work,0,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,No,,,,,,,,,,70-79,70-79,60-69,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,8,10,10,9,7,"Producing tangible results;Solving problems;Repairing, refinishing",Analyzing information;Learning new facts;Developing knowledge,Designing,"Working in groups;Communication;Teaching, instructing;Coaching, training","Persuading, influential;Taking risks",Using computer software;Creating efficiency;Following the rules
268,above 28,Male,60-69,Department of Chemistry,Department of Chemistry,No,2014,more than 3,Married,Nurse,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Agree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,No,No,Yes,,It's my dream job.,Working,Job,Assistant professor,Education,Government,2,Office Work,2,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,No,,,,,,,,,,90-100,80-89,60-69,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,9,10,9,6,Fixing things;Making things work;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities,"Writing poetry, stories;Reading;Being Emotional","Supporting others;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Asserting ideas;Taking risks,Keeping records;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
269,26-28,Male,60-69,Statistics,Statistics,No,2015,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,2,Technical/programming Skills;Practical Applications,Yes,No,Yes,,Yes,Working,Job,Business Analyst,Market research,Private,4,Office Work,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,60-69,70-79,60-69,Agree,Neutral,Agree,Neutral,Agree,5,5,8,10,8,Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Developing knowledge,Decorating,Working in groups;Supporting others;Building relationships,Competing;Taking risks,Writing reports
270,26-28,Male,70-79,PHYSICS,PHYSICS,B.ED,2017,1,Married,M.COM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,3,Soft skills;Technical/programming Skills,"yes,i want to study the stock market and want to made a money",No,Yes,,"yes, because it give me more time for many goverment exam and to earn more money",Working,Job,Lecturer,Teaching field,Private,5,Office Work,more than 3,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,,,,,,,,,,80-89,90-100,80-89,Agree,Strongly Agree,Agree,Neutral,Agree,8,6,7,7,7,Producing tangible results;Making things work;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge,"Writing poetry, stories;Reading","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Taking risks,Keeping records;Conducting analyses;Performing calculations;Following the rules
271,26-28,Female,60-69,Statistics ,Statistics ,Machine learning & AI,2015,2,Unmarried,,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,2,Soft skills;Interactive Session;Practical Applications;Guidence for real life scenarios that in world what is going on and how to act and which carrier direction is best based on own skills,"Machine learning,Deep learning,business analytics deep dive",,Yes,,Working as an Analytics engineer is quiet tough but challanging job and best suitable with all time of on trend job.to reach upto clients or business people’s requirement and show ur best of u is challanging but that is what i want.love to apply statistics  and bus,Working,Job,Analytics and Ml engineer ,Aviation industry it field,Private,2,Office Work,1,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,No,,,,,,,,,,70-79,70-79,70-79,Neutral,Agree,Agree,Agree,Agree,1,2,2,1,1,Producing tangible results;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Detailed activities;Developing knowledge,Playing instruments;Being Emotional;Being expressive,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Coaching, training","Persuading, influential;Competing;Being an entrepreneur","Making charts, graphs;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations"
272,26-28,Male,60-69,Statistics ,Msc Biostatistics ,No,2016,more than 3,Unmarried,,Disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,more than 3,Technical/programming Skills;Practical Applications,"Python, excel , R programming and sql ",,Yes,,Every time some new come and I love to explore about new things ,Working,Job,Research Analyst ,Market Research ,Private,3,Office Work,2,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,No,,,,,,,,,,50-59,60-69,60-69,Agree,Agree,Agree,Neutral,Agree,6,4,7,7,7,Producing tangible results;Fixing things;Solving problems,Analyzing information;Conducting research;Exploring theories;Developing knowledge,Being brave and daring,"Supporting others;Communication;Listening to people;Encouraging;Coaching, training",Speaking in public;Debating ideas;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
273,above 28,Male,60-69,Geology,Geology,No,2014,more than 3,Married,"MBBS, DNB ( General Medicine) working as a Physician ",Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Strongly Agree,Agree,None,Practical Applications,"More technical work,  and Problem solving skills ",,Yes,,"I am very interested in knowing the different things related to the Geology.  Actually it's an applied Science, in which you can apply basic skills of Science to resolve the Problems pertaining to Earth sciences ",Working,Job,Geologist class II in Government of Gujarat ,Government officer ,Government,5,Field Work,more than 3,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,No,,,,,,,,,,60-69,40-49,40-49,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,7,5,5,4,5,Solving problems,Conducting research;Learning new facts;Exploring theories;Developing knowledge,Reading;Being Emotional;Being expressive,"Teaching, instructing;Coaching, training",Chairing committees;Asserting ideas,Conducting analyses;Creating efficiency
274,above 28,Male,50-59,Geography,Geography,No,2015,more than 3,Unmarried,,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Agree,1,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,"GIS, Ph.D",,Yes,,Job stability & income,Working,Both,Urban planner,Town planning,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,,,,,,,,,,60-69,60-69,60-69,Agree,Disagree,Neutral,Agree,Agree,4,7,5,9,10,"Producing tangible results;Constructing, building;Making things work;Action-oriented activities;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Composing music;Playing instruments;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
275,26-28,Male,60-69,Geography,Geography,NCC,2015,more than 3,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,1,Practical Applications,GIS technical knowledge,,Yes,,its area of my interest and todays carriers are more dependent on software application ,Working,Both,Researcher and a free lancer,Climate Change Researcher,Government,3,Office Work,1,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Agree,Neutral,Neutral,Agree,7,7,6,8,9,"Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge,Playing instruments;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
276,26-28,Female,60-69,Statistics,Statistics,No,2015,2,Unmarried,,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,2,Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,Because it has got wide scope and it's satisfying.,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
277,23-25,Female,70-79,Bachelors of Arts,Msc in Geography,None,2018,1,Unmarried,,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,None,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications;If teachers would be more concerned about giving right advice ,B. ED,No,Yes,,I am contended and more firm to carry on in present career,Non-Working,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,
278,26-28,Male,60-69,Geography ,Na,Na,2014,3,Married,House wife,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Technical/programming Skills,Na,No,Yes,,I love my present career,Working,Job,Assistant manager ,Banking,Private,5,Office Work,more than 3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,60-69,60-69,60-69,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,Solving problems,Collecting data,"Writing poetry, stories",Communication,Negotiating,Using computer software
279,26-28,Male,50-59,Department of geography ,Department of geography ,No,2015,2,Unmarried,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,2,Practical Applications,No,No,Yes,,I have a satisfy with my current job,Working,Job,Production manager ,Pharmaceuticals ,Private,4,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,90-100,80-89,80-89,Agree,Neutral,Agree,Neutral,Agree,7,7,10,10,8,Working with my hands;Solving problems,Analyzing information;Learning new facts;Detailed activities;Developing knowledge,Composing music,Supporting others;Building relationships;Communication;Encouraging,Debating ideas;Taking risks,Conducting analyses;Creating efficiency;Performing calculations
280,26-28,Male,50-59,Geography,Geography,No,2016,2,Unmarried,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,None,Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,Am satisfied with my present career.,Working,Job,Teacher,Teaching,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,No,,,,,,,,,,60-69,40-49,50-59,Agree,Disagree,Disagree,Disagree,Neutral,4,4,3,7,9,"Fixing things;Constructing, building;Action-oriented activities;Working with my hands;Using equipment",Analyzing information;Conducting research;Collecting data;Developing knowledge,Composing music;Reading;Being Emotional;Being expressive,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing",Speaking in public;Debating ideas;Competing;Asserting ideas;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Following the rules"
281,23-25,Male,50-59,"Geography, pune university ","M.Sc geography, Department of geography ","English typing- 30 Wpm, MSCIT, Auto cad 3d civil,Advance  Deploma in GIS, ",2018,more than 3,Unmarried,,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,2,Technical/programming Skills;Interactive Session,GIS AND REMOTE SENSING,,Yes,,I THINK MY CURRENT CAREER HAVE GOOD SCOPE IN FUTURE ...,Non-Working,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,
282,26-28,Male,60-69,Statistics,Statistics,"SQL, Basic R",2015,more than 3,Married,Government Employee,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,1,Soft skills;Technical/programming Skills;Practical Applications,Yes - R or Python programing languages,,Yes,,I am satisfied with my work and the salary attached to it.,Working,Job,Executive,Market Research,Private,3,Office Work,1,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,No,,,,,,,,,,80-89,70-79,70-79,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,10,2,4,8,10,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge,Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Debating ideas;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
283,23-25,Male,50-59,Statistics,Statistics,No,2016,more than 3,Unmarried,,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,2,Practical Applications,Yes In Data Science,,Yes,,I am happy with work,Working,Job,Sr. Executive,Data analysis,Private,2,Office Work,0,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Yes,,,,,,,,,,70-79,70-79,70-79,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,3,3,4,3,3,"Producing tangible results;Constructing, building;Making things work;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Detailed activities;Developing knowledge,Playing instruments;Reading;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Collaborating;Coaching, training",Debating ideas;Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
284,26-28,Male,50-59,Statistics,Statistics,No,2015,2,Married,Private job,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,None,Technical/programming Skills,Data science,No,Yes,,I like that,Working,Job,District data manager-health vadodara,Health district branch,Government,4,Office Work,0,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,No,,,,,,,,,,80-89,80-89,70-79,Agree,Neutral,Strongly Agree,Neutral,Agree,8,8,10,10,10,"Making things work;Working with my hands;Repairing, refinishing",Analyzing information;Learning new facts;Developing knowledge;Designing systems,"Designing;Writing poetry, stories;Being expressive","Working in groups;Communication;Teaching, instructing;Coaching, training","Persuading, influential;Chairing committees;Competing;Taking risks","Making charts, graphs;Writing reports;Using computer software;Following the rules"
285,above 28,Male,50-59,statistics ,bio statistics ,base & advance SAS,2016,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,more than 3,Technical/programming Skills,no,No,Yes,,yes,Working,Job,statistical programmer ,market research ,Private,1,Office Work,1,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Yes,,,,,,,,,,60-69,60-69,60-69,Neutral,Neutral,Agree,Neutral,Neutral,6,4,8,10,10,Solving problems,Collecting data,Reading,Communication,Asserting ideas,Conducting analyses
286,23-25,Male,50-59,Statistics ,Statistics ,Technical  Analysts ,2018,more than 3,Unmarried,,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1,Practical Applications,No,No,Yes,,I have got jobs in my domain  filed ,Working,Job,Mis Executive ,Banking ,Government,1,Office Work,0,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,6,6,8,7,7,Fixing things;Making things work,Analyzing information;Learning new facts;Collecting data,Reading,Working in groups;Listening to people,Speaking in public;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Creating efficiency"
287,23-25,Male,60-69,p,Physics,No,2018,2,Unmarried,,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1,Practical Applications,No,No,Yes,,No,Working,Job,Assistant,Insurance,Government,1,Office Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,70-79,90-100,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,10,7,6,8,10,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge,Reading;Being expressive,Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging,Debating ideas,Attention to detail
288,23-25,Male,50-59,Statistics ,Statistics ,Technical  Analysts ,2018,more than 3,Unmarried,,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1,Practical Applications,No,No,Yes,,I have got jobs in my domain  filed ,Working,Job,Mis Executive ,Banking ,Government,1,Office Work,0,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,6,6,8,7,7,Fixing things;Making things work,Analyzing information;Learning new facts;Collecting data,Reading,Working in groups;Listening to people,Speaking in public;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Creating efficiency"
289,26-28,Male,50-59,Techo,VNSGU,No,2015,2,Married,Komal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,3,Soft skills,Yes,No,Yes,,Yes,Working,Job,Executive,Pharma,Private,4,Office Work,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,50-59,50-59,50-59,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,2,2,3,3,"Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Learning new facts;Collecting data,"Playing instruments;Writing poetry, stories;Being expressive","Building relationships;Communication;Collaborating;Teaching, instructing",Debating ideas;Chairing committees;Asserting ideas,Using computer software;Creating efficiency;Performing calculations
290,26-28,Male,50-59,Statistics,Statistics,No,2015,2,Married,Housewife,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Practical Applications,No,No,Yes,,I am satisfied in my current career(Business line),Working,self-employed,Owner of Sanfort Preschool,Educational field,Private,4,Office Work,2,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Yes,,,,,,,,,,60-69,60-69,60-69,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,8,10,10,8,7,"Fixing things;Constructing, building;Making things work;Solving problems;Repairing, refinishing",Analyzing information;Conducting research;Collecting data;Designing systems,Decorating;Reading;Being Emotional;Being expressive;Being brave and daring,Supporting others;Building relationships;Listening to people;Collaborating,Debating ideas;Chairing committees;Asserting ideas;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Attention to detail;Conducting analyses;Performing calculations"
291,23-25,Male,60-69,Department of chemistry,Department of Applied Chemistry,No,2017,3,Unmarried,,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,None,Practical Applications,No,No,Yes,,Bcoz I am getting growth in it,Working,Job,Production officer,Pharmaceutical,Private,3,Field Work,0,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,70-79,90-100,80-89,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,7,8,10,7,9,Solving problems,Solving abstract problems,Being brave and daring,"Teaching, instructing",Speaking in public;Debating ideas;Taking risks;Being an entrepreneur,Writing reports;Performing calculations
292,26-28,Male,50-59,STATISTICS,STATISTICS,No,2015,more than 3,Unmarried,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Technical/programming Skills,Python programming,,Yes,,I am happy with my present career.,Working,Job,Asst. Analyst,IT,Private,3,Office Work,1,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,40-49,50-59,40-49,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,10,10,8,Producing tangible results;Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Decorating;Playing instruments;Designing;Reading,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
293,above 28,Male,50-59,Chemistry ,Applied Chemistry ,No,2014,more than 3,Married,House wife,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,1,Practical Applications,Yes,,Yes,,"Yes, I am satisfied ",Working,self-employed,Director / partner,Chemical manufacturers ,Private,5,Office Work,more than 3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,9,9,9,9,9,Producing tangible results;Fixing things;Making things work;Working with my hands;Solving problems,Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Decorating;Designing;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
